title,release_date,platform,category,imdb_id,imdb_url,imdb_title,imdb_year,imdb_plot,imdb_director,imdb_actors,imdb_rating,imdb_poster,last_updated
Bootcut Balaraju,26 Feb 2024,Aha,Film,tt27721719,https://www.imdb.com/title/tt27721719/,Bootcut Balaraju,2024,,Srinivas Koneti,"Sunil, Indraja, Darbha Appaji Ambarisha",N/A,https://m.media-amazon.com/images/M/MV5BNjYyM2VhYjAtYjA3ZS00ZWMxLWEyY2ItMDdlNTAwZWI4MGJjXkEyXkFqcGdeQXVyMTUyNjIwMDEw._V1_SX300.jpg,2024-10-15T23:51:10.126130
Antony,23 Feb 2024,Aha,Film,tt27510682,https://www.imdb.com/title/tt27510682/,Antony,2023,"An emotionally charged mass family entertainer that delves into the profound theme of relationships that run deeper than blood. The story revolves around the enigmatic character, Antony and his close-knit group of friends.",Joshiy,"Joju George, Chemban Vinod Jose, Kalyani Priyadarshan",6.4,https://m.media-amazon.com/images/M/MV5BOTUwOGNlYTktY2RiNC00ZWVhLWJhNDctYWQ0ZDU3NzFjZTAwXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_SX300.jpg,2024-10-15T23:51:10.378108
Regina (Telugu),22 Feb 2024,Prime Video,Film,,,,,,,,,,
Naa Saami Ranga,17 Feb 2024,Disney+ Hotstar,Film,tt23790602,https://www.imdb.com/title/tt23790602/,Naa Saami Ranga,2024,The lives of two brothers from a humble background in a village get wrecked by evil-minded people from an affluent family. Can the protagonist overcome the complicated scenarios and lead a happy life with his loved ones?,Vijay Binni,"Nagarjuna Akkineni, Allari Naresh, Raj Tarun",4.5,https://m.media-amazon.com/images/M/MV5BMTQ4NjI4NjQtNDRiNC00ZGRiLWFhMjUtMmQ5ODljODVhMzUwXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:51:10.776188
Bhamakalapam 2,16 Feb 2024,Aha,Film,tt28755712,https://www.imdb.com/title/tt28755712/,BhamaKalapam 2,2024,"A wealthy hotelier disrupts Anupama's life. In retaliation, she puts together an imperfectly perfect team to pull off an elaborate heist at his luxurious hotel during a culinary competition.",Abhimanyu Tadimeti,"Priyamani, Saranya Pradeep, Anuj Gurwara",5.8,https://m.media-amazon.com/images/M/MV5BOWU4NzRjMmMtYmE3NC00NWQyLWIwZmEtM2RiMzg5ODI0MjA1XkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_SX300.jpg,2024-10-15T23:51:11.036855
Valentines Night,15 Feb 2024,ETV Win,Film,tt26232890,https://www.imdb.com/title/tt26232890/,Valentines Night,2023,Realize that everything connects to everything else.,Anil Gopi Reddy,"Mukku Avinash, Bindu Chandramouli, Charan",N/A,https://m.media-amazon.com/images/M/MV5BMGU3YzI5MjYtZjYwYy00OTBmLWJlMDMtMTQ4M2UyMDQ5MDdmXkEyXkFqcGdeQXVyMTQ4ODkwNjA5._V1_SX300.jpg,2024-10-15T23:51:11.316646
Guntur Kaaram,09 Feb 2024,Netflix,Film,tt14564000,https://www.imdb.com/title/tt14564000/,Guntur Kaaram,2024,"Years after his mother abandons him and remarries, a man demands answers when he's asked to sign a document denying he is her son as she runs for office.",Trivikram Srinivas,"Mahesh Babu, Sreeleela, Meenaakshi Chaudhary",5.4,https://m.media-amazon.com/images/M/MV5BMjY3ZmMzMzMtMjFhNC00MGU3LTlkNzYtMGUwMzAwNjEyYmJhXkEyXkFqcGdeQXVyMTcyNDY1NDgw._V1_SX300.jpg,2024-10-15T23:51:11.563521
Bubblegum,09 Feb 2024,Aha,Film,tt29436996,https://www.imdb.com/title/tt29436996/,Bubblegum,2023,"Aadi and Jhanvi, from different backgrounds, struggle with doubts and challenges in their relationship, questioning if love can overcome their differences.",Ravikanth Perepu,"Roshan Kanakala, Manasa Chowdary, Harsha Chemudu",6.6,https://m.media-amazon.com/images/M/MV5BNGM2MTBmMGUtYTg1Yi00NThiLWJlM2UtYmY3YzAxYjQ5OTVkXkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_SX300.jpg,2024-10-15T23:51:11.812647
Captain Miller (Telugu),09 Feb 2024,Prime Video,Film,,,,,,,,,,
Joruga Husharuga,08 Feb 2024,Prime Video,Film,tt1579962,https://www.imdb.com/title/tt1579962/,Joruga Husharuga,2002,N/A,Chandhra Mahesh,"Brahmanandam, Rahul, Rubina",N/A,N/A,2024-10-15T23:51:12.212041
Rebels Of Thupakulagudem,08 Feb 2024,ETV Win,Film,,,,,,,,,,
Saindhav,03 Feb 2024,Prime Video,Film,tt27118258,https://www.imdb.com/title/tt27118258/,Saindhav,2024,"The protagonist, with a past, has to cross paths with the underworld if he has to save his daughter from a health crisis and time is running out.",Sailesh Kolanu,"Nawazuddin Siddiqui, Ruhani Sharma, Shraddha Srinath",5.0,https://m.media-amazon.com/images/M/MV5BNzE3YjcyYzMtNTRkNi00ZGY0LThiNzItNzJmZmIwNTAyODA1XkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_SX300.jpg,2024-10-15T23:51:12.736723
Miss Perfection,03 Feb 2024,Disney+ Hotstar,Series,,,,,,,,,,
Pindam,02 Feb 2024,Aha,Film,tt29548562,https://www.imdb.com/title/tt29548562/,Pindam,2023,A speech-impaired six-year-old girl becomes the vessel for a powerful spirit hell-bent on destruction.,Saikiran Daida,"Srikanth, Easwari Rao, Srinivas Avasarala",6.9,https://m.media-amazon.com/images/M/MV5BNzdiNjE4ZjAtMGVmNi00OTQ4LWIyMjktOGUwY2QwOWJmODI4XkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_SX300.jpg,2024-10-15T23:51:13.246243
Raa Raa Penimiti,28 Jan 2024,Galaxy OTT & Hungama,Film,tt24227752,https://www.imdb.com/title/tt24227752/,Raa Raa Penimiti,2023,,Satya Venkat,Nandita Shwetha,7.2,https://m.media-amazon.com/images/M/MV5BMzBmY2Q3ZDUtNGFkOC00NTEzLTljNmQtMWUzZjJkZDUwMTU3XkEyXkFqcGdeQXVyMTI5MjcxOTc3._V1_SX300.jpg,2024-10-15T23:51:13.497139
Animal (Telugu Dub),26 Jan 2024,Netflix,Film,,,,,,,,,,
Vidhi,26 Jan 2024,Prime Video,Film,tt29704964,https://www.imdb.com/title/tt29704964/,Vidhi,2023,"Surya, an innocent young man is burdened by financial struggles and injustice, discovers a mysterious pen with a secret. He must carefully navigate through the blurred lines between revenge and righteousness.","Srikanth Ranganathan, Srinath Ranganathan","Mahesh Achanta, Anandhi, Rohit Nanda",N/A,https://m.media-amazon.com/images/M/MV5BODQzM2ZlM2UtZGJlNS00MGEyLTgyNjEtN2VkNzM4MjdiZTE1XkEyXkFqcGdeQXVyMTU0ODI1NTA2._V1_SX300.jpg,2024-10-15T23:51:13.991243
Sapta Sagaradaache Ello - Side B (Telugu),25 Jan 2024,Prime Video,Film,,,,,,,,,,
Little Miss Naina,25 Jan 2024,ETV Win,Film,,,,,,,,,,
Neru (Telugu Dub),23 Jan 2024,Disney+ Hotstar,Film,,,,,,,,,,
Salaar,20 Jan 2024,Netflix,Film,tt13927994,https://www.imdb.com/title/tt13927994/,Salaar,2023,"The fate of a violently contested kingdom hangs on the fraught bond between two friends-turned-foes in this saga of power, bloodshed and betrayal.",Prashanth Neel,"Prabhas, Prithviraj Sukumaran, Shruti Haasan",6.6,https://m.media-amazon.com/images/M/MV5BZDExMmNmMTgtNWU3MS00YzFkLWIwMjMtZmJlMmE3YTI0ZDBmXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:51:15.034045
Extra Ordinary Man,19 Jan 2024,Disney+ Hotstar,Film,tt23846664,https://www.imdb.com/title/tt23846664/,Extra Ordinary Man,2023,A former movie extra tells the story of how he became a smuggler and vigilante hero.,Vakkantham Vamsi,"Nithiin, Sreeleela, Rajasekhar",5.0,https://m.media-amazon.com/images/M/MV5BMDUxZjBjNjQtNjliOC00NDc2LWFiNjItYmQ1NjU5MGI4ZDJiXkEyXkFqcGdeQXVyMTUyNjIwMDEw._V1_SX300.jpg,2024-10-15T23:51:15.287791
Good Luck Ganesha,19 Jan 2024,Aha,Film,,,,,,,,,,
Atharva,18 Jan 2024,ETV Win,Film,tt27191600,https://www.imdb.com/title/tt27191600/,Atharva,2023,"A policeman from the clues department tries to unravel murder mystery. When the investigation becomes more complex, it leads to a twisted path. Will he be able to unravel the chain of mystery?",Mahesh Reddy,"Karthik Raju, Simran Choudhary, Arvind Krishna",6.8,https://m.media-amazon.com/images/M/MV5BZWI1OWExZTAtZGIxMS00YTZkLTg4ZjctMzY4MjYyYzgyNTRjXkEyXkFqcGdeQXVyMTA0MDMwNDEy._V1_SX300.jpg,2024-10-15T23:51:15.785400
Maya Lo,15 Jan 2024,Prime Video,Film,,,,,,,,,,
Devil,14 Jan 2024,Prime Video,Film,tt1314655,https://www.imdb.com/title/tt1314655/,Devil,2010,A group of people are trapped in an elevator and the Devil is mysteriously amongst them.,John Erick Dowdle,"Chris Messina, Caroline Dhavernas, Bokeem Woodbine",6.3,https://m.media-amazon.com/images/M/MV5BZDRmYWMzYjYtODkyMS00YWU4LWJkYzMtMWM1Y2M5YjFlZGZhXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:51:16.692558
Lingoccha,13 Jan 2024,Aha,Film,tt29606533,https://www.imdb.com/title/tt29606533/,Lingoccha,2023,"Shiva and Noorjahan's childhood affection is disrupted when she unexpectedly goes to Dubai, putting their love to the test.",Anand Bada,"Ismail Bhai, Shree Tulasi Rama Dangeti, Kunal Kaushik",N/A,https://m.media-amazon.com/images/M/MV5BZWZkNDUyMmUtNWU2MC00MDgwLTg2N2YtMTlkODNkYWEyNWY5XkEyXkFqcGdeQXVyMTUyNjIwMDEw._V1_SX300.jpg,2024-10-15T23:51:17.153162
Sarkaaru Noukari,12 Jan 2024,Prime Video,Film,tt28266209,https://www.imdb.com/title/tt28266209/,Sarkaaru Noukari,2024,"In the year 1996, the entire nation was politically facing a serious issue. In addition, the country was suffering from another dangerous problem. In this scenario, a Government Employee took up the responsibility.",Shekar Ganganamoni,"Sahithi Dasari, Tanikella Bharani, Bhavana Vazhapandal",N/A,https://m.media-amazon.com/images/M/MV5BNjZlZjQ5M2QtOGFkOS00NWNjLTg4ZmUtMDY1ZGJiMmZiOWM2XkEyXkFqcGdeQXVyMTMyNzg1NTQ4._V1_SX300.jpg,2024-10-15T23:51:17.409644
Ajay Gadu,12 Jan 2024,Zee5,Film,tt31216055,https://www.imdb.com/title/tt31216055/,Ajay Gadu,2024,"Ajay, a middle class struggling to adjust himself to the fast moving world of money, fame and love feels like giving up but shwetha a drug addicted medico becomes an inspiration to Ajay how he fights back with himself and outer wo...",Ajay Kumar Kathurvar,"Ajay Kumar Kathurvar, Shweta Mehta, Prachi Thaker",N/A,https://m.media-amazon.com/images/M/MV5BZDQ3M2U0ZjAtZjM4Yi00ZGMyLThmOGEtNWFjZjk1NWFkZDdkXkEyXkFqcGdeQXVyNjgxMjg1NzI@._V1_SX300.jpg,2024-10-15T23:51:17.664434
Kota Bommali PS,11 Jan 2024,Aha,Film,tt28522313,https://www.imdb.com/title/tt28522313/,Kota Bommali PS,2023,A police officer finds himself on the run after being framed by a politician for a crime.,Teja Marni,"Meka Srikanth, Varalaxmi Sarathkumar, Rahul Vijay",7.3,https://m.media-amazon.com/images/M/MV5BYTFjNGE1NjYtYWI0Yy00ZDVlLWFlOTctMGZmMjZiNzExYTRmXkEyXkFqcGdeQXVyMTU0ODI1NTA2._V1_SX300.jpg,2024-10-15T23:51:17.908138
The Trial,09 Jan 2024,Prime Video,Film,tt0057427,https://www.imdb.com/title/tt0057427/,The Trial,1962,"An unassuming office worker is arrested and stands trial, but he is never made aware of his charges.",Orson Welles,"Anthony Perkins, Arnoldo Foà, Jess Hahn",7.6,https://m.media-amazon.com/images/M/MV5BN2JiZTM2ZWMtOWI5ZS00ZjI2LWI5OTktNTJjZmU2NzM4NGE2XkEyXkFqcGdeQXVyNDE0OTU3NDY@._V1_SX300.jpg,2024-10-15T23:51:18.156622
#90's,05 Jan 2024,ETV Win,Series,,,,,,,,,,
Krishna Ghattam,05 Jan 2024,Prime Video,Film,tt29058970,https://www.imdb.com/title/tt29058970/,Krishna Ghattam,2023,"""Krishna Ghattam"" is a tale of morality and reform. Amidst turmoil, Prasad decides to stand tall. A casanova's pursuits meet his nemesis. A self-righteous boy is tested. Will there be reform? See the battle between wisdom and inte...",Suresh Palla,"Chaitanya Krishna, Venkat Govada, Viswanath GR",7.7,https://m.media-amazon.com/images/M/MV5BYmRmYTNhZTUtZTVkNi00ZmMyLTgxOTktYmU3NjYxNzljZWMwXkEyXkFqcGdeQXVyMTA0MDMwNDEy._V1_SX300.jpg,2024-10-15T23:51:18.573926
Boys Hostel,05 Jan 2024,Aha,Film,tt20836414,https://www.imdb.com/title/tt20836414/,Boys Hostel,2022–,"Hostel life is full of unforgettable fun, remarkable moments and endless memories. It brings out the best of friendships in the life of the students who experience it.",N/A,"Anushka Kaushik, Twarita Nagar, Parikshit Joshi",N/A,https://m.media-amazon.com/images/M/MV5BYTMyMmVmZDMtODlhOC00ODVkLTgxYjUtMjY5YTliZjAxZWVlXkEyXkFqcGdeQXVyMTUzMzk2NzY5._V1_SX300.jpg,2024-10-15T23:51:18.820556
Hi Nanna,04 Jan 2024,Netflix,Film,tt25433734,https://www.imdb.com/title/tt25433734/,Hi Nanna,2023,A single father begins to narrate the story of the missing mother to his child and nothing remains the same.,Shouryuv,"Nani, Mrunal Thakur, Kiara Khanna",8.2,https://m.media-amazon.com/images/M/MV5BMjZkNTdhOTMtYzg0Yy00YjA4LTljOTQtZWRkNTZkMTY3Y2Y3XkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_SX300.jpg,2024-10-15T23:51:19.071840
Calling Sahasra,01 Jan 2024,Prime Video,Film,tt29741106,https://www.imdb.com/title/tt29741106/,Calling Sahasra,2023,Cyber expert Ajay joins new job but past tragedy motivates avenging crimes on women using RESQ app anonymously. Mass calls draw him into murder case amidst rescuing women.,Arunvikkirala,"Siva Balaji, Soumya Deshpande, Krishna Elakanti",N/A,https://m.media-amazon.com/images/M/MV5BYjc0NjY2ZDctNGQ4Mi00NmM3LWJlZjEtNzc5MmNkMzM3MTBlXkEyXkFqcGdeQXVyMTUyNjIwMDEw._V1_SX300.jpg,2024-10-15T23:51:19.319325
Keedaa Cola,29 Dec 2023,Aha,Film,tt25376056,https://www.imdb.com/title/tt25376056/,Keedaa Cola,2023,A hilarious group takes on a challenge of a lifetime when they decide to make quick money by planting a cockroach into a soft drink bottle. Will they hit the jackpot?,Tharun Bhascker Dhaassyam,"Chaitanya Madadi, Rag Mayur, Brahmanandam",7.4,https://m.media-amazon.com/images/M/MV5BYmI2ZGU5MDEtMDQwNS00YzdkLTg4ZGMtMjZlNGYxOTgwMDlhXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:51:19.570416
My Name Is Shruthi,29 Dec 2023,Prime Video,Film,tt23635174,https://www.imdb.com/title/tt23635174/,My Name Is Shruthi,2023,"It is an intriguing thriller based on Organ Mafia. My Name Is Shruthi stands apart as it deals with skin mafia, which is first of its kind movie which gives audience a new experience with a gripping thriller.",Srinivas Omkar,"Hansika Motwani, Darbha Appaji Ambarisha, Murli Sharma",6.3,https://m.media-amazon.com/images/M/MV5BMDg2YzkwYzctMDYyZi00NTdhLTg5OTQtNGY5NjVhYjUzMzM0XkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_SX300.jpg,2024-10-15T23:51:19.707423
Annapoorani (Telugu),29 Dec 2023,Netflix,Film,,,,,,,,,,
Mangalavaaram,26 Dec 2023,Disney+ Hotstar,Film,tt26763310,https://www.imdb.com/title/tt26763310/,Mangalavaaram,2023,"Fear engulfs a village as murders pile up mysteriously. Shailu, a young woman is the heart of the story and the enigmatic tale unravels with a suspenseful cinematic journey.",Ajay Bhupathi,"Payal Rajput, Nandita Shwetha, Divya Pillai",6.7,https://m.media-amazon.com/images/M/MV5BZjk4OGMwMDUtZWVmZS00OGU4LWFjNTEtNGQyMzcxYWQyM2ExXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_SX300.jpg,2024-10-15T23:51:20.197845
Sagileti Katha,26 Dec 2023,ETV Win,Film,,,,,,,,,,
Aadikeshava,22 Dec 2023,Netflix,Film,tt25434168,https://www.imdb.com/title/tt25434168/,Aadikeshava,2023,"A turn of events takes an urban-bred guy into the heart of Rayalaseema, where there are scores to settle.",Srikanth N Reddy,"Panja Vaisshnav Tej, Joju George, Sreeleela",N/A,https://m.media-amazon.com/images/M/MV5BMmU2ZWRmNDktZGJmYS00YzA5LWJlMmItMzI4NjJmODgyNTg1XkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:51:20.715518
Ala Ninnu Cheri,22 Dec 2023,Prime Video,Film,tt28989465,https://www.imdb.com/title/tt28989465/,Ala Ninnu Cheri,2023,"A girl born into a wealthy family, falls for a boy who is driven towards his goal. On proposing marriage to him, he chooses his goal. Will she marry someone else? Will he achieve his goal?",Maresh Shivan,"Dinesh Tej, Hebah Patel, Payal Radhakrishna",6.6,https://m.media-amazon.com/images/M/MV5BYTczNjg4YTQtYjNkOS00MjMyLTg0ODgtYjg4MjBkNmJjYmY2XkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:51:20.969397
Raakshasa Kaavyam,15 Dec 2023,Aha,Film,tt16058988,https://www.imdb.com/title/tt16058988/,Raakshasa Kaavyam,2023,"Mythological characters Jaya-Vijaya are born as Ajay-Vijay in the outskirts of Hyderabad city. One night, Chaitanya, an engineering student, gets trapped between these two extremists and becomes a part of their criminal activities",Sriman Keerthi,"Abhay Bethiganti, Anvesh Michael, Dayanand Reddy",7.7,https://m.media-amazon.com/images/M/MV5BODg5MmFmODktYmJkMy00MjIyLWI0NzgtM2MyN2FiMjhlMDZlXkEyXkFqcGdeQXVyMTY0NzczOTg@._V1_SX300.jpg,2024-10-15T23:51:21.219802
Vyooham,14 Dec 2023,Prime Video,Series,tt30401803,https://www.imdb.com/title/tt30401803/,Vyooham,2023–,"A Police Officer seeks justice, a complex array of suspects adds suspense, unveiling a mystery that challenges the officer and delves into his haunting past",N/A,"Sai Sushanth Reddy, Chaitanya Krishna, Ravindra Vijay",7.7,https://m.media-amazon.com/images/M/MV5BNjkxZTEyNTItMWMyZS00NmUxLWE5MzMtOTlhM2IzYWNjY2JkXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:51:21.476080
Japan,11 Dec 2023,Netflix,Film,tt0322824,https://www.imdb.com/title/tt0322824/,Japan,2002,"A painter from the big city goes to a remote canyon to commit suicide. To reach some calmness, he stays at the farmstead of Ascen, an old, religious woman. Although but a few words are spoken, love grows.",Carlos Reygadas,"Alejandro Ferretis, Magdalena Flores, Yolanda Villa",6.9,https://m.media-amazon.com/images/M/MV5BMTg5NTk2ODcxN15BMl5BanBnXkFtZTgwMDQ1Njg1NzM@._V1_SX300.jpg,2024-10-15T23:51:21.725003
Spark LIFE,11 Dec 2023,Prime Video,Film,tt28526239,https://www.imdb.com/title/tt28526239/,Spark: L.I.F.E.,2023,,Vikranth Reddy,"Vikranth Reddy, Mehreen Pirzada, Rukshar Dhillon",N/A,https://m.media-amazon.com/images/M/MV5BYTg3MjQ4OTktZGFlZC00MzNjLTgwNGYtNjFhOWYyMWVmZWYyXkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_SX300.jpg,2024-10-15T23:51:21.970632
Polimera 2,08 Dec 2023,Aha,Film,tt28512693,https://www.imdb.com/title/tt28512693/,Maa Oori Polimera 2,2023,Revolves around a policeman who sets out to seek justice for his brother's death in a village plagued by black magic.,Anil Viswanath,"Rajsekhar Aningi, Baladitya, Kamakshi Bhaskarla",7.1,https://m.media-amazon.com/images/M/MV5BYWMwNDVjOTUtZTYxMS00ZWRlLWFkZTAtNzA1MGYwMTljZmExXkEyXkFqcGdeQXVyMjYyNDEzNjM@._V1_SX300.jpg,2024-10-15T23:51:22.233514
How Is That for a Monday,08 Dec 2023,ETV Win,Film,tt16751646,https://www.imdb.com/title/tt16751646/,How Is That for a Monday?,2023,"A tale of how a fateful Monday changes the lives of a billionaire, a gang of amateur thieves, an old man, and an immigrant techie, that touches the subjects of racism, police brutality and class differences on a satirical note.",Sripal Sama,"Sabrina Ariss, Megan Barlow, Candido Carter",9.3,https://m.media-amazon.com/images/M/MV5BMTZkNmE2NjUtZGI2NS00N2EwLWIwMmQtNjhjMWMxZWZhYjA1XkEyXkFqcGdeQXVyMTQ3NzU5NjM1._V1_SX300.jpg,2024-10-15T23:51:22.478550
Jigarthanda Double X,08 Dec 2023,Netflix,Film,tt24226474,https://www.imdb.com/title/tt24226474/,Jigarthanda Double X,2023,"In 1975, a filmmaker agrees to collaborate on a film with a gangster who wishes to become a famous actor.",Karthik Subbaraj,"Raghava Lawrence, S.J. Suryah, Nimisha Sajayan",8.0,https://m.media-amazon.com/images/M/MV5BYzgwNDdjNGItYjRkOS00ZjZiLWI1YjktZjk4YzBjZmJlNTU0XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_SX300.jpg,2024-10-15T23:51:22.721378
Vadhuvu,08 Dec 2023,Disney+ Hotstar,Series,tt29961423,https://www.imdb.com/title/tt29961423/,Vadhuvu,2023–,"The life of a young bride becomes threatened upon marrying into a secretive household. Despite her haunting history, she resolves to unearth the mysteries hidden within her new family.",N/A,"Avika Gor, Nandu Vijay Krishna, Soujas Renukuntla",6.6,https://m.media-amazon.com/images/M/MV5BZTQzYzE2M2UtMzIxZC00MjY2LWJjYjItMTk4NWZiMjE5NmNkXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_SX300.jpg,2024-10-15T23:51:22.964972
Rules Ranjann,08 Dec 2023,Prime Video,Film,tt25402414,https://www.imdb.com/title/tt25402414/,Rules Ranjann,2023,"Mano Ranjan is a software employee who lives by a strict set of rules. His life takes an unexpected turn when he renews his friendship with Sana, a classmate from their school days.",Rathinam Krishna,"Kiran Abbavaram, Neha Shetty, Meher Chahal",4.1,https://m.media-amazon.com/images/M/MV5BNGYzMTk0YzAtOTcyNy00M2U4LTk5ZmEtZTU4ODkyNWNmNjVmXkEyXkFqcGdeQXVyMTYwNjM4Mzcy._V1_SX300.jpg,2024-10-15T23:51:23.432675
Month Of Madhu,08 Dec 2023,Prime Video,Film,tt21361340,https://www.imdb.com/title/tt21361340/,Month of Madhu,2023,"It follows the life of couple, Who is on the brink of divorce- and traces the entry of an outsider who changes their lives forever.",Srikanth Nagothi,"Naveen Chandra, Swathi Reddy, Shreya Navile",6.8,https://m.media-amazon.com/images/M/MV5BYWM5MmE3ZjAtMzk0ZS00NTlkLTljZTUtZjU3ZjQ2NTM1Yjk3XkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:51:23.681545
Ahimsa,05 Dec 2023,Prime Video,Film,tt17057430,https://www.imdb.com/title/tt17057430/,Ahimsa,2023,A youngster who follows the path of non-violence and finally revolts to a different path to get justice for his family.,Teja,"Abhiram Daggubati, Geethika, Ananth Babu",6.1,https://m.media-amazon.com/images/M/MV5BNmI2N2NlMGUtYzY1ZS00ZjgzLTk5ZmYtMTRjMGVhMWU3NDNlXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_SX300.jpg,2024-10-15T23:51:23.926434
800 (Telugu),02 Dec 2023,Jiocinema,Film,,,,,,,,,,
Martin Luther King,29 Nov 2023,Sony LIV,Film,tt29228476,https://www.imdb.com/title/tt29228476/,Martin Luther King,2023,A man without a name or identity is suddenly wooed by two warring groups when he gets a Voter ID. Will he reap the benefits of his privilege or use it as a tool for social change?,Puja Kolluru,"Sampoornesh Babu, V.K. Naresh, Venkatesh Maha",7.4,https://m.media-amazon.com/images/M/MV5BNDQ4MzMwNmYtNWYyMC00NTZlLWJhYjgtMTJlNzU3Y2I5MWVjXkEyXkFqcGdeQXVyMzI4MzEwNQ@@._V1_SX300.jpg,2024-10-15T23:51:24.489060
Chinna,28 Nov 2023,Disney+ Hotstar,Film,tt2396399,https://www.imdb.com/title/tt2396399/,Chinna,2005,Chinna is a 2005 Tamil romantic action thriller film directed by Sundar C. It stars Arjun and Sneha in the lead roles. It did reasonable business at the box-office. The second half is partially inspired by the Hindi film Darr (199...,Sundar C.,"Kiran Rathod, Arjun Sarja, Sneha",4.0,https://m.media-amazon.com/images/M/MV5BZWU0MWU0YTEtMjBiOC00YTQ4LTg5MjUtOWMxNzkwZDJlZTM5XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_SX300.jpg,2024-10-15T23:51:24.742194
Bhagavanth Kesari,24 Nov 2023,Prime Video,Film,tt21810110,https://www.imdb.com/title/tt21810110/,Bhagavanth Kesari,2023,Nelakonda Bhagavanth Kesari is adamant about getting even with a powerful businessman who cost him money. He is prepared to square off against the formidable foe and resolve their issues amicably.,Anil Ravipudi,"Nandamuri Balakrishna, Arjun Rampal, Kajal Aggarwal",5.9,https://m.media-amazon.com/images/M/MV5BMTEwYjcxZmMtMDQxOS00YmUxLWI5ZDEtNDNlYzMzZmEwYzRkXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_SX300.jpg,2024-10-15T23:51:24.989355
Leo,24 Nov 2023,Netflix,Film,tt15654328,https://www.imdb.com/title/tt15654328/,Leo,2023,"Parthiban is a mild-mannered cafe owner in Kashmir, who fends off a gang of murderous thugs and gains attention from a drug cartel claiming he was once a part of them.",Lokesh Kanagaraj,"Joseph Vijay, Sanjay Dutt, Trisha Krishnan",7.2,https://m.media-amazon.com/images/M/MV5BODVlMDM4MGUtZDFlOS00ZDc0LTliNDEtN2U2ZjM3NWEyYzAyXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:51:25.545351
Odiyan,24 Nov 2023,ETV Win,Film,tt6707906,https://www.imdb.com/title/tt6707906/,Odiyan,2018,"The story of the Odiyan clan, one of the most dreaded, shape-shifting black magicians in the world which ruled the darkness of night through during the pre-electrification era in Kerala.",V.A. Shrikumar Menon,"Mohanlal, Prakash Raj, Manju Warrier",5.2,https://m.media-amazon.com/images/M/MV5BM2FlMTYwZWEtMTljMy00N2FmLWFkNjgtZmFmNjg5NDU4OGUwXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:51:25.797312
Richie Gadi Pelli,24 Nov 2023,Aha,Film,tt15502716,https://www.imdb.com/title/tt15502716/,Richie Gadi Pelli,2023,"Richie and Shree plan their dream destination wedding in Ooty after dating for two years. Amidst preparations, Richie invites his high school friends, setting the stage for celebration and reminiscence.","K.S. Hemraj, M.Summanth","Kishore Maarisetty, Naveen Neni, Praneeta Patnaik",N/A,https://m.media-amazon.com/images/M/MV5BYmE2MmIwZDEtOTg2Yy00MTQ1LWI4MzUtMzBiYTZlMTc0ZTU4XkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_SX300.jpg,2024-10-15T23:51:26.044191
Tiger Nageswara Rao,17 Nov 2023,Prime Video,Film,tt9688874,https://www.imdb.com/title/tt9688874/,Tiger Nageswara Rao,2023,"A legendary real-life robber of Stuartpuram, Andhra Pradesh called Tiger Nageswara Rao in the 1970s, who was noted for his ingenious ways of evading the police and prison.",Vamsee,"Ravi Teja, Anupam Kher, Gayatri Bhardwaj",6.0,https://m.media-amazon.com/images/M/MV5BYTg0NWU4YmEtMDUxMS00OGQ2LTljZWUtZDE1ZjczODIzMDU3XkEyXkFqcGdeQXVyMTcyNDY1NDgw._V1_SX300.jpg,2024-10-15T23:51:26.300075
